TF-IDF VOCABULARY INSPECTION
Generated: 2026-01-04 14:46
Total features: 1,000
Total papers: 2,384,617
Matrix sparsity: 96.50%
================================================================================

MOST COMMON TERMS (by document frequency)
--------------------------------------------------------------------------------
Rank   Term                           Papers       % of Corpus  Mean TF-IDF 
72     increase                       203,586      8.54         0.008372    
73     single                         202,515      8.49         0.008766    
74     interaction                    198,670      8.33         0.010664    
75     perform                        195,327      8.19         0.007469    
76     class                          190,905      8.01         0.010960    
77     image                          189,640      7.95         0.014766    
78     mass                           189,396      7.94         0.012543    
79     density                        188,541      7.91         0.010174    
80     linear                         187,855      7.88         0.009809    
81     rate                           187,358      7.86         0.009854    
82     sample                         183,799      7.71         0.010244    
83     estimate                       181,283      7.60         0.009202    
84     reduce                         180,024      7.55         0.007534    
85     extend                         179,399      7.52         0.007752    
86     example                        177,547      7.45         0.008201    
87     experimental                   175,443      7.36         0.007403    
88     determine                      174,573      7.32         0.007559    
89     test                           173,212      7.26         0.009115    
90     couple                         173,130      7.26         0.010212    
91     complex                        171,160      7.18         0.008638    
92     identify                       171,030      7.17         0.007135    
93     source                         170,788      7.16         0.009253    
94     finite                         167,475      7.02         0.009653    
95     compute                        166,724      6.99         0.008255    
96     address                        166,369      6.98         0.006306    
97     understand                     166,074      6.96         0.006891    
98     numerical                      164,952      6.92         0.007897    
99     mean                           163,041      6.84         0.007824    
100    correspond                     162,983      6.83         0.007021    

================================================================================

LEAST COMMON TERMS (by document frequency)
--------------------------------------------------------------------------------
Rank   Term                           Papers       % of Corpus  Mean TF-IDF 
--------------------------------------------------------------------------------
100    liquid                         31,520       1.32         0.002863    
99     ensemble                       31,437       1.32         0.002607    
98     einstein                       31,249       1.31         0.002429    
97     dispersion                     31,186       1.31         0.002252    
96     grain                          31,182       1.31         0.002394    
95     word                           30,959       1.30         0.003087    
94     attack                         30,767       1.29         0.003887    
93     pulse                          30,660       1.29         0.003044    
92     transformer                    30,522       1.28         0.002534    
91     gev                            30,515       1.28         0.002586    
90     absorption                     30,491       1.28         0.002383    
89     service                        30,485       1.28         0.002661    
88     molecule                       30,479       1.28         0.002856    
87     reaction                       30,476       1.28         0.002832    
86     fermion                        30,344       1.27         0.002726    
85     plasma                         30,266       1.27         0.002866    
84     partition                      30,155       1.26         0.002758    
83     count                          30,090       1.26         0.002388    
82     security                       29,815       1.25         0.002723    
81     harmonic                       29,798       1.25         0.002607    
80     day                            29,699       1.25         0.002072    
79     segmentation                   29,667       1.24         0.003316    
78     solid                          29,657       1.24         0.002163    
77     continuum                      29,652       1.24         0.002109    
76     pre train                      29,624       1.24         0.002027    
75     mechanical                     29,580       1.24         0.002324    
74     norm                           29,388       1.23         0.002662    
73     boson                          29,312       1.23         0.002757    
72     sqrt                           29,219       1.23         0.002316    
71     composition                    29,117       1.22         0.002153    
70     vacuum                         29,093       1.22         0.002481    
69     delay                          29,058       1.22         0.002554    
68     deformation                    28,961       1.21         0.002691    
67     estimator                      28,679       1.20         0.002975    
66     query                          28,551       1.20         0.002934    
65     age                            28,384       1.19         0.002321    
64     game                           28,365       1.19         0.003638    
63     superconducting                28,329       1.19         0.002695    
62     soft                           28,257       1.18         0.002229    
61     circuit                        28,171       1.18         0.002742    
60     entanglement                   28,081       1.18         0.003313    
59     relaxation                     27,974       1.17         0.002337    
58     localization                   27,577       1.16         0.002414    
57     adversarial                    27,521       1.15         0.002490    
56     alignment                      27,473       1.15         0.002113    
55     neutrino                       27,391       1.15         0.004167    
54     eigenvalue                     27,062       1.13         0.002665    
53     qcd                            27,022       1.13         0.002534    
52     interference                   26,950       1.13         0.002212    
51     contact                        26,809       1.12         0.002667    
50     shoot                          26,730       1.12         0.002063    
49     prompt                         26,689       1.12         0.002322    
48     singularity                    26,301       1.10         0.002652    
47     disorder                       26,212       1.10         0.002512    
46     latent                         26,193       1.10         0.002170    
45     robot                          26,178       1.10         0.003339    
44     proton                         26,167       1.10         0.002652    
43     chiral                         26,125       1.10         0.002627    
42     jet                            25,927       1.09         0.003231    
41     horizon                        25,443       1.07         0.002146    
40     dirac                          25,406       1.07         0.002403    
39     grid                           25,344       1.06         0.002163    
38     trap                           25,215       1.06         0.002322    
37     gate                           25,161       1.06         0.002507    
36     string                         25,091       1.05         0.002846    
35     prime                          25,044       1.05         0.002803    
34     accretion                      24,982       1.05         0.002057    
33     vehicle                        24,672       1.03         0.002427    
32     abundance                      24,637       1.03         0.002147    
31     wind                           24,280       1.02         0.002326    
30     scene                          24,029       1.01         0.002198    
29     classifier                     23,998       1.01         0.002021    
28     fusion                         23,853       1.00         0.001996    
27     cool                           23,717       0.99         0.001935    
26     star formation                 23,670       0.99         0.001676    
25     camera                         23,458       0.98         0.001964    
24     privacy                        23,315       0.98         0.002615    
23     anomaly                        22,919       0.96         0.002296    
22     stream                         22,891       0.96         0.001999    
21     film                           22,798       0.96         0.002708    
20     medical                        22,704       0.95         0.002024    
19     water                          22,535       0.95         0.002322    
18     higgs                          21,782       0.91         0.002832    
17     dust                           21,611       0.91         0.002285    
16     defect                         21,452       0.90         0.002348    
15     planet                         21,325       0.89         0.002966    
14     dwarf                          21,259       0.89         0.002055    
13     phi                            21,035       0.88         0.002899    
12     halo                           20,858       0.87         0.002141    
11     tau                            20,582       0.86         0.002690    
10     gamma ray                      20,410       0.86         0.001913    
9      cavity                         20,326       0.85         0.002380    
8      theta                          19,993       0.84         0.002487    
7      graphene                       19,987       0.84         0.002772    
6      speech                         19,232       0.81         0.002705    
5      shock                          19,075       0.80         0.002030    
4      traffic                        18,574       0.78         0.001988    
3      epsilon                        17,916       0.75         0.002343    
2      ell                            17,328       0.73         0.002476    
1      rho                            16,487       0.69         0.002175    

================================================================================

POTENTIAL ISSUES TO REVIEW
--------------------------------------------------------------------------------

Single character terms: 0

Two character terms: 0

Terms containing digits: 0

Very rare terms (< 0.01% of papers): 0

Very common terms (> 50% of papers): 0

================================================================================

TERM LENGTH DISTRIBUTION
--------------------------------------------------------------------------------
  3 characters: 35 terms (3.5%)
  4 characters: 113 terms (11.3%)
  5 characters: 140 terms (14.0%)
  6 characters: 145 terms (14.5%)
  7 characters: 136 terms (13.6%)
  8 characters: 134 terms (13.4%)
  9 characters: 110 terms (11.0%)
  10 characters: 79 terms (7.9%)
  11 characters: 57 terms (5.7%)
  12 characters: 23 terms (2.3%)
  13 characters: 11 terms (1.1%)
  14 characters: 14 terms (1.4%)
  15 characters: 1 terms (0.1%)
  16 characters: 2 terms (0.2%)
